,Date,time,charge,price
0,2019-01-01,0.0,57951.041666666664,41.2425
1,2019-01-02,0.0027397260273972603,65436.083333333336,54.270833333333336
2,2019-01-03,0.005479452054794521,71704.41666666667,61.24625
3,2019-01-04,0.00821917808219178,74387.29166666667,64.92666666666666
4,2019-01-05,0.010958904109589041,69813.83333333333,62.66416666666667
5,2019-01-06,0.0136986301369863,67389.625,55.61375
6,2019-01-07,0.01643835616438356,72940.125,62.78375
7,2019-01-08,0.019178082191780823,71821.29166666667,57.79833333333334
8,2019-01-09,0.021917808219178082,73516.91666666667,57.7575
9,2019-01-10,0.024657534246575342,77128.25,69.23333333333333
10,2019-01-11,0.0273972602739726,76094.875,65.34416666666667
11,2019-01-12,0.030136986301369864,67751.75,53.53916666666667
12,2019-01-13,0.03287671232876712,61313.833333333336,46.28333333333333
13,2019-01-14,0.03561643835616438,67263.29166666667,56.65
14,2019-01-15,0.038356164383561646,69822.45833333333,60.94
15,2019-01-16,0.0410958904109589,71835.45833333333,62.70041666666666
16,2019-01-17,0.043835616438356165,70482.875,61.55833333333334
17,2019-01-18,0.04657534246575343,74377.29166666667,66.67875
18,2019-01-19,0.049315068493150684,69628.70833333333,63.87125
19,2019-01-20,0.052054794520547946,66756.16666666667,61.54333333333333
20,2019-01-21,0.0547945205479452,76422.04166666667,71.51125
21,2019-01-22,0.057534246575342465,78634.375,72.31666666666666
22,2019-01-23,0.06027397260273973,78131.0,76.07041666666667
23,2019-01-24,0.06301369863013699,79698.33333333333,85.94291666666668
24,2019-01-25,0.06575342465753424,76861.33333333333,69.53166666666667
25,2019-01-26,0.0684931506849315,66727.45833333333,54.39458333333334
26,2019-01-27,0.07123287671232877,63864.833333333336,40.52708333333333
27,2019-01-28,0.07397260273972603,73105.08333333333,55.89208333333334
28,2019-01-29,0.07671232876712329,75970.625,62.67291666666667
29,2019-01-30,0.07945205479452055,76441.375,59.17791666666667
30,2019-01-31,0.0821917808219178,77608.66666666667,61.134166666666665
31,2019-02-01,0.08493150684931507,73352.70833333333,59.49458333333333
32,2019-02-02,0.08767123287671233,68373.625,50.21458333333334
33,2019-02-03,0.09041095890410959,67935.91666666667,47.78041666666667
34,2019-02-04,0.09315068493150686,77439.5,57.229166666666664
35,2019-02-05,0.0958904109589041,74835.5,58.36291666666667
36,2019-02-06,0.09863013698630137,71514.66666666667,52.995000000000005
37,2019-02-07,0.10136986301369863,69385.33333333333,48.2075
38,2019-02-08,0.10410958904109589,68577.66666666667,47.39333333333334
39,2019-02-09,0.10684931506849316,61229.125,33.778333333333336
40,2019-02-10,0.1095890410958904,58976.375,32.08625
41,2019-02-11,0.11232876712328767,68988.66666666667,47.13041666666667
42,2019-02-12,0.11506849315068493,71307.25,51.38999999999999
43,2019-02-13,0.1178082191780822,71138.0,49.69541666666667
44,2019-02-14,0.12054794520547946,69075.70833333333,50.451249999999995
45,2019-02-15,0.1232876712328767,66042.25,48.84625
46,2019-02-16,0.12602739726027398,59524.916666666664,44.02791666666667
47,2019-02-17,0.12876712328767123,55415.958333333336,39.673750000000005
48,2019-02-18,0.13150684931506848,62130.125,47.02125
49,2019-02-19,0.13424657534246576,64565.041666666664,47.017500000000005
50,2019-02-20,0.136986301369863,65293.041666666664,47.15708333333333
51,2019-02-21,0.13972602739726028,64267.25,47.025416666666665
52,2019-02-22,0.14246575342465753,61798.541666666664,47.01958333333334
53,2019-02-23,0.14520547945205478,54475.125,40.06125
54,2019-02-24,0.14794520547945206,53357.166666666664,39.64041666666667
55,2019-02-25,0.1506849315068493,60063.833333333336,44.44083333333333
56,2019-02-26,0.15342465753424658,59304.5,43.74541666666667
57,2019-02-27,0.15616438356164383,58356.041666666664,43.427083333333336
58,2019-02-28,0.1589041095890411,58097.041666666664,40.085
59,2019-03-01,0.16164383561643836,58593.791666666664,44.3525
60,2019-03-02,0.1643835616438356,53892.75,40.70583333333334
61,2019-03-03,0.16712328767123288,51091.75,17.884583333333335
62,2019-03-04,0.16986301369863013,59491.583333333336,29.229166666666668
63,2019-03-05,0.1726027397260274,61143.375,40.41125
64,2019-03-06,0.17534246575342466,60914.208333333336,35.97541666666667
65,2019-03-07,0.1780821917808219,60096.208333333336,32.652499999999996
66,2019-03-08,0.18082191780821918,60809.625,40.02791666666666
67,2019-03-09,0.18356164383561643,54353.625,24.02541666666667
68,2019-03-10,0.1863013698630137,50389.208333333336,18.28708333333333
69,2019-03-11,0.18904109589041096,60238.875,39.27791666666666
70,2019-03-12,0.1917808219178082,63054.75,39.410000000000004
71,2019-03-13,0.19452054794520549,63156.458333333336,28.876666666666665
72,2019-03-14,0.19726027397260273,64022.958333333336,35.12833333333334
73,2019-03-15,0.2,60564.166666666664,29.845416666666665
74,2019-03-16,0.20273972602739726,52507.208333333336,17.748749999999998
75,2019-03-17,0.2054794520547945,51756.0,8.764166666666666
76,2019-03-18,0.20821917808219179,61765.583333333336,38.60166666666667
77,2019-03-19,0.21095890410958903,62488.833333333336,45.312916666666666
78,2019-03-20,0.2136986301369863,61505.041666666664,41.96333333333333
79,2019-03-21,0.21643835616438356,59415.916666666664,39.935
80,2019-03-22,0.2191780821917808,57363.083333333336,40.44958333333333
81,2019-03-23,0.2219178082191781,51119.75,35.600833333333334
82,2019-03-24,0.22465753424657534,48426.5,33.35458333333333
83,2019-03-25,0.2273972602739726,56480.375,33.86083333333333
84,2019-03-26,0.23013698630136986,58573.083333333336,37.29416666666666
85,2019-03-27,0.2328767123287671,58454.458333333336,39.97375
86,2019-03-28,0.2356164383561644,57297.333333333336,40.479166666666664
